type,epoch,loss,loss_lora,rel_change,lr
train,1,4.66157702125352,4.164295698034352,-0.10667662916474706,2.9741379310344824e-05
val,1,4.743312483742123,3.9598891621544245,-0.1651637593502243,2.9741379310344824e-05
train,2,4.607580672050345,3.801381030987049,-0.17497244181826596,5.974137931034483e-05
val,2,4.665354308627901,3.6697581836155484,-0.21340203962025794,5.974137931034483e-05
train,3,4.625618622220796,3.604447428522439,-0.22076424303395875,8.974137931034482e-05
val,3,4.678697097869146,3.4472941784631637,-0.26319355445489506,8.974137931034482e-05
train,4,4.622404199222038,3.4460892841733735,-0.2544811886521394,0.00011974137931034483
val,4,4.732020991189139,3.3712906950996038,-0.2875579585600251,0.00011974137931034483
train,5,4.657473331895368,3.397167454505789,-0.2705986245286121,0.00014974137931034483
val,5,4.729361795243763,3.306841941106887,-0.3007847391940874,0.00014974137931034483
train,6,4.612063266080002,3.3076801937201927,-0.28281985677713006,0.00017974137931034482
val,6,4.704547541482108,3.2450252033415294,-0.31023649464083736,0.00017974137931034482
train,7,4.613800540052611,3.2850613552948524,-0.2879923337003656,0.00020974137931034482
val,7,4.725561652864728,3.2421953905196417,-0.31390263662010226,0.00020974137931034482
train,8,4.5819806251032595,3.262850270189088,-0.2878952275980966,0.0002397413793103448
val,8,4.716407912118094,3.20383053734189,-0.32070537641366137,0.0002397413793103448
train,9,4.659494471961055,3.3296210375325432,-0.2854115274588584,0.0002697413793103448
val,9,4.73422588620867,3.190157799493699,-0.3261500663103158,0.0002697413793103448
train,10,4.626719947518973,3.2965206586081406,-0.28750374001437823,0.0002997413793103448
val,10,4.714635145096552,3.1772407577151345,-0.32608979063425125,0.0002997413793103448
train,11,4.672050862476744,3.3383189563093514,-0.28547033100156693,0.0002999191732976625
val,11,4.719998098555065,3.21480925877889,-0.31889606909734963,0.0002999191732976625
train,12,4.58642244955589,3.232105649750808,-0.2952882807243852,0.0002996739744776372
val,12,4.738827659970238,3.16544348852975,-0.3320197070535309,0.0002996739744776372
train,13,4.624549651968068,3.2495169577927423,-0.2973333184108324,0.00029926469616464626
val,13,4.704373632158552,3.166063978558495,-0.32699563722667574,0.00029926469616464626
train,14,4.649268236653558,3.259223549530424,-0.2989813915584398,0.0002986918370012697
val,14,4.682455358051119,3.1637851283663796,-0.32433202530665955,0.0002986918370012697
train,15,4.590052148391461,3.182031615027066,-0.3067548010010784,0.0002979560949281559
val,15,4.693191721325829,3.10645029658363,-0.3380943117094615,0.0002979560949281559
train,16,4.5451154708862305,3.1490242008505196,-0.30716299266286706,0.00029705836633368854
val,16,4.677355073747181,3.128091289883568,-0.33122646440917886,0.00029705836633368854
train,17,4.571734058445897,3.1504389479242523,-0.3108875302787836,0.0002959997449618755
val,17,4.709951366697039,3.102644579751151,-0.3412576185628534,0.0002959997449618755
train,18,4.599859369212184,3.17310853662162,-0.3101727070484163,0.0002947815205797902
val,18,4.695134344555083,3.0710768586113337,-0.3459022398000513,0.0002947815205797902
train,19,4.572887095911749,3.1340762602871863,-0.3146394838636817,0.00029340517740618913
val,19,4.663741634005592,3.0887140887124196,-0.33771758148197706,0.00029340517740618913
train,20,4.622780468957178,3.1782583347682296,-0.3124790683635488,0.00029187239230321995
val,20,4.687610512688046,3.0750679629189626,-0.3440009671034706,0.00029187239230321995
train,21,4.597795276806273,3.153540280358545,-0.31411903086101267,0.0002901850327334231
val,21,4.694328603290376,3.088802110581171,-0.3420140830328431,0.0002901850327334231
train,22,4.658039263610182,3.205282805294826,-0.3118815398712219,0.00028834515448451667
val,22,4.716802029382615,3.0970767793201266,-0.34339479163480924,0.00028834515448451667
train,23,4.580071950780934,3.1323831060837053,-0.31608430178709046,0.0002863549991647354
val,23,4.736886206127348,3.1156761986868724,-0.3422522595842343,0.0002863549991647354
train,24,4.685259603220841,3.191425027518437,-0.3188370980928101,0.00028421699147177643
val,24,4.686187846320016,3.0758163928985596,-0.3436421044636642,0.00028421699147177643
train,25,4.590276120037868,3.153722302667026,-0.3129558614349742,0.00028193373623867885
val,25,4.698587451662336,3.0720645700182234,-0.3461727377381594,0.00028193373623867885
train,26,4.612717217412488,3.134997746040081,-0.3203576984503152,0.00027950801526023576
val,26,4.659753356661115,3.0362317107972645,-0.3484136437270928,0.00027950801526023576
train,27,4.648777719201712,3.146548277345197,-0.3231450356620789,0.0002769427839038056
val,27,4.710988112858364,3.0684744857606434,-0.3486558632178622,0.0002769427839038056
train,28,4.607455757157556,3.123274852489603,-0.32212591566664944,0.00027424116750865267
val,28,4.682954527082897,3.0427831468128024,-0.35024285860229976,0.00027424116750865267
train,29,4.660938038908202,3.168385933185446,-0.32022569132293754,0.0002714064575782023
val,29,4.691661278406779,3.0675790423438665,-0.3461635739855516,0.0002714064575782023
train,30,4.615490520822591,3.1301745977895012,-0.3218110656564344,0.0002684421077698511
val,30,4.747659842173259,3.09546727225894,-0.34800146279182914,0.0002684421077698511
train,31,4.592149457027173,3.095148074215856,-0.32599143316655743,0.00026535172968721765
val,31,4.768792470296224,3.0788608505612327,-0.35437306828955323,0.00026535172968721765
train,32,4.620039946046369,3.116742150536899,-0.32538631982953464,0.00026213908847995925
val,32,4.683516933804467,3.0460069520132884,-0.34963255283055267,0.00026213908847995925
train,33,4.602448535376582,3.0956162892538925,-0.32739795666164845,0.0002588080982565175
val,33,4.676762104034424,3.045324756985619,-0.3488390708694462,0.0002588080982565175
train,34,4.6561092713783525,3.1360300943769257,-0.32646982456909485,0.00025536281731538
val,34,4.675996269498553,3.0396411078316823,-0.34994791855177226,0.00025536281731538
train,35,4.598436154168228,3.0966584415271363,-0.3265844435569282,0.0002518074432006687
val,35,4.6848790645599365,3.0552887348901656,-0.347840426020227,0.0002518074432006687
train,36,4.746147404456961,3.197051066776802,-0.3263902710281291,0.0002481463075880789
val,36,4.700587681361607,3.06029090427217,-0.34895568134882576,0.0002481463075880789
train,37,4.583403106393485,3.082557532294043,-0.32745223129204604,0.00024438387100739987
val,37,4.703663508097331,3.0566500709170388,-0.3501554552839436,0.00024438387100739987
train,38,4.578313693918031,3.0694509919347435,-0.3295673479053447,0.00024052471740804623
val,38,4.719102723257882,3.077708130791074,-0.3478192124060513,0.00024052471740804623
train,39,4.567054834859125,3.061487845305739,-0.3296581810364505,0.00023657354857422181
val,39,4.688920009703863,3.03969559215364,-0.35172799154967516,0.00023657354857422181
train,40,4.591438055038452,3.0769942238413055,-0.32984085008731834,0.00023253517839651967
val,40,4.6670045625595815,2.9761261145273843,-0.36230486286579683,0.00023253517839651967
train,41,4.605798935068065,3.0743737734597305,-0.33249935205556314,0.0002284145270069381
val,41,4.689651546024141,3.0078033152080716,-0.3586296794784104,0.0002284145270069381
train,42,4.650934772244815,3.12031600393098,-0.32909916893439217,0.00022421661478445765
val,42,4.658002319790068,3.0019585291544595,-0.35552661354411796,0.00022421661478445765
train,43,4.6024613750392,3.0635436608873565,-0.3343684148003819,0.00021994655623848255
val,43,4.711623736790249,3.0485046250479564,-0.3529821574579462,0.00021994655623848255
train,44,4.589911767121019,3.0606997629691817,-0.333168061117441,0.00021560955377759902
val,44,4.714133398873465,3.018749407359532,-0.35963852697063653,0.00021560955377759902
train,45,4.602935507379729,3.065898130679953,-0.333925464355409,0.0002112108913712416
val,45,4.717776786713373,3.0049315634227933,-0.36306194649023,0.0002112108913712416
train,46,4.606707706533629,3.061551375635739,-0.33541444982637303,0.0002067559281119905
val,46,4.708608979270572,3.030790442512149,-0.35632997858708165,0.0002067559281119905
train,47,4.709539843016658,3.1412501725657234,-0.33300273970001687,0.00020225009168634256
val,47,4.671255531765166,3.0297961916242326,-0.35139574981047145,0.00020225009168634256
train,48,4.6059307291589935,3.06084714881305,-0.33545523612945505,0.00019769887176191158
val,48,4.756646383376348,3.055372987474714,-0.3576623652006777,0.00019769887176191158
train,49,4.695490165003415,3.1201170025200677,-0.33550771210745395,0.0001931078132991138
val,49,4.718416100456601,3.003848745709374,-0.3633777348677045,0.0001931078132991138
train,50,4.702660690093863,3.131107587238838,-0.33418381771950834,0.00018848250979548774
val,50,4.727163076400757,3.006891432262602,-0.3639120581065214,0.00018848250979548774
train,51,4.614793791853148,3.056404354243443,-0.33769427365548815,0.0001838285964708792
val,51,4.759974740800404,3.046415783110119,-0.3599932879900419,0.0001838285964708792
train,52,4.653446125573125,3.0786428718731322,-0.3384165651012104,0.00017915174340179388
val,52,4.670766864504133,2.944575559525263,-0.369573424462094,0.00017915174340179388
train,53,4.625272874174447,3.069883167743683,-0.3362806365685791,0.0001744576486132824
val,53,4.674408038457234,2.9931105886186873,-0.3596813620048136,0.0001744576486132824
train,54,4.667395377981252,3.1027976870536804,-0.33521858857483233,0.00016975203113677476
val,54,4.658295881180536,2.9219520773206438,-0.3727422748895583,0.00016975203113677476
train,55,4.576216113978419,3.0230245096930144,-0.3394052128659432,0.00016504062404232121
val,55,4.711923428944179,3.002124650137765,-0.36286641847860757,0.00016504062404232121
train,56,4.632117659881197,3.0619744103530357,-0.3389687751516294,0.00016032916745372975
val,56,4.6830638363247825,2.9768003736223494,-0.36434768398149575,0.00016032916745372975
train,57,4.587234548453627,3.0362638276198815,-0.33810582486055424,0.00015562340155510937
val,57,4.674621706917172,2.959828320003691,-0.3668304077688366,0.00015562340155510937
train,58,4.56141406503217,3.0108791795270196,-0.33992416899653133,0.00015092905959733982
val,58,4.6491038004557295,2.9474402155194963,-0.36601970142491275,0.00015092905959733982
train,59,4.611210432545892,3.037859554948478,-0.3412012747222973,0.00014625186091298862
val,59,4.691166230610439,2.968159789130801,-0.3672874412841754,0.00014625186091298862
train,60,4.718271325374472,3.099619629054234,-0.34306032542369136,0.00014159750394818557
val,60,4.729821216492426,2.990116482689267,-0.3678161719383764,0.00014159750394818557
train,61,4.694439061756792,3.1036508001130203,-0.3388665271220825,0.0001369716593199435
val,61,4.69583967753819,2.97044799441383,-0.36742985314798965,0.0001369716593199435
train,62,4.595533029786472,3.026505811461087,-0.3414244241430876,0.0001323799629073851
val,62,4.696055378232684,2.972798222587222,-0.3669584399777656,0.0001323799629073851
train,63,4.63669368110854,3.0560358577761155,-0.3409019297031762,0.00012782800898529262
val,63,4.7002677122751875,2.986693722861154,-0.3645694446167131,0.00012782800898529262
train,64,4.64252273378701,3.0593989203716148,-0.341005075084254,0.00012332134340834518
val,64,4.700182596842448,2.9646332150413874,-0.3692514803503573,0.00012332134340834518
train,65,4.619892691743785,3.0308872050252456,-0.34394857039823734,0.00011886545685434989
val,65,4.7003074941181,2.9723818869817826,-0.3676196949451966,0.00011886545685434989
train,66,4.6533716115458255,3.0439770324476836,-0.3458555889035283,0.00011446577813469596
val,66,4.712079570406959,2.9739705494471957,-0.3688624088344186,0.00011446577813469596
train,67,4.612781512326207,3.042821234670179,-0.34035001949708726,0.00011012766758018473
val,67,4.668397290366037,2.9718167781829834,-0.36341819400936826,0.00011012766758018473
train,68,4.667450559550319,3.0641985371195037,-0.34349630531175435,0.00010585641051029223
val,68,4.685141018458775,2.962905520484561,-0.3675952316459326,0.00010585641051029223
train,69,4.61916127081575,3.0266597332625556,-0.3447598912847563,0.00010165721079382137
val,69,4.691461926414853,2.9634312788645425,-0.36833521717842144,0.00010165721079382137
train,70,4.626844258143984,3.034147936722328,-0.34422950775104566,9.753518450878952e-05
val,70,4.700158970696585,2.9921817893073674,-0.3633871092526234,9.753518450878952e-05
train,71,4.6328825642322675,3.039954758923629,-0.3438308187664171,9.349535370927556e-05
val,71,4.699094522567022,2.9797372931525823,-0.36589117779124586,9.349535370927556e-05
train,72,4.579906973345526,2.997857591201519,-0.34543264554309344,8.954264030682051e-05
val,72,4.636013961973644,2.9179674216679166,-0.3705870073726699,8.954264030682051e-05
train,73,4.5922917333142514,3.007599812129448,-0.34507649191553713,8.568186007383627e-05
val,73,4.67884205636524,2.931146667117164,-0.3735316063662498,8.568186007383627e-05
train,74,4.661543459727846,3.0560569845396897,-0.3444109207729856,8.191771677632933e-05
val,74,4.676716861270723,2.966955548241025,-0.3655900846144306,8.191771677632933e-05
train,75,4.730088550468971,3.1074329840725867,-0.3430497228715737,7.825479644308574e-05
val,75,4.694726478485834,2.9751291502089727,-0.36628275068997723,7.825479644308574e-05
train,76,4.582900378210791,3.0034236866852333,-0.34464565257301116,7.469756177830198e-05
val,76,4.699042683555966,2.9526183151063465,-0.3716553532405936,7.469756177830198e-05
train,77,4.69396402712526,3.0763693308008127,-0.34461165168219576,7.125034672446709e-05
val,77,4.704847063337054,2.9794885998680476,-0.3667193513927409,7.125034672446709e-05
